时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-03-04,13210,13265,13175,13265,7788,47606,13318.0,13365.0,13394.5,13737.75,-103.18590517921076,-104.42412622298188,1.2382210437711194,45.3416149068323,107.85714285714286,-94.84396717168552,7467.4,5379038,41153.05,-1.0,-0.0021005314344568
2014-03-05,13265,13340,13245,13295,9768,48590,13302.0,13350.0,13380.25,13725.166666666666,-100.7935685075845,-103.6980146799024,2.904446172317904,45.00000000000001,110.71428571428572,-57.30244017125209,7700.75,5388806,41907.25,984.0,2.066966348779564
2014-03-06,13320,13325,13215,13240,8887,48921,13277.0,13332.5,13363.25,13711.833333333334,-102.15805039155202,-103.39002182223234,1.2319714306803178,36.53846153846153,107.5,-74.21600647453909,7890.05,5379919,42678.0,331.0,0.6812101255402325
2014-03-07,13260,13290,13210,13230,7082,48198,13253.0,13307.0,13357.25,13697.416666666666,-102.86061539589537,-103.28414053696496,0.4235251410695895,30.34482758620689,104.28571428571428,-74.99618989321581,7914.2,5372837,43375.15,-723.0,-1.477892929416813
2014-03-10,13160,13190,13050,13080,11444,47126,13222.0,13276.5,13342.0,13679.333333333334,-114.20466928367568,-105.4682462863071,-8.736422997368578,28.94736842105263,107.85714285714286,-123.08815991932664,8138.95,5361393,43919.35,-1072.0,-2.22415867878335
2014-03-11,13160,13280,13155,13245,10423,51303,13218.0,13268.0,13341.0,13664.166666666666,-108.62858991616667,-106.10031501227904,-2.528274903887649,38.63636363636364,115.35714285714286,-58.595628419733856,8130.65,5371816,44552.6,4177.0,8.863472393158766
2014-03-12,13225,13255,13150,13250,10874,51751,13209.0,13255.5,13336.5,13649.083333333334,-102.62307371750649,-105.40486675332453,2.7817930358180405,40.35087719298245,117.14285714285714,-57.76988618262025,8190.9,5382690,45175.85,448.0,0.8732432801200618
2014-03-13,13235,13280,13210,13215,7202,51490,13204.0,13240.5,13328.5,13634.416666666666,-99.54042628303068,-104.23197865926576,4.69155237623508,33.536585365853654,114.64285714285714,-45.98144266697588,8160.2,5375488,45740.95,-261.0,-0.504338080423572
2014-03-14,13190,13195,13125,13145,11918,53131,13187.0,13220.0,13313.25,13620.25,-101.57492842088686,-103.70056861159,2.125640190703124,34.810126582278485,107.14285714285714,-73.12798015286306,8318.1,5363570,46385.05,1641.0,3.187026607108168
2014-03-17,13160,13185,13080,13095,7600,54974,13190.0,13206.0,13292.25,13606.0,-105.99996652409573,-104.16044819409116,-1.83951833000458,35.03184713375795,105.71428571428572,-80.47466718686523,8141.35,5355970,47067.1,1843.0,3.468784701963079
2014-03-18,13105,13110,12985,13010,13473,57220,13143.0,13180.5,13272.75,13588.25,-115.0395266730593,-106.3362638898848,-8.703262783174509,27.878787878787875,109.28571428571428,-100.01539312537942,8487.25,5342497,47806.45,2246.0,4.085567722923567
2014-03-19,12990,13040,12880,12900,14833,59387,13073.0,13141.0,13245.5,13568.5,-129.58574016101556,-110.98615914411096,-18.599581016904608,24.864864864864856,116.07142857142856,-114.0406756637868,8925.75,5327664,48659.6,2167.0,3.787137364557847
2014-03-20,12835,13010,12635,12810,30808,58753,12992.0,13098.0,13215.25,13547.416666666666,-146.68507277794924,-118.12594187087862,-28.559130907070625,23.0,138.57142857142858,-124.3530250378748,10187.95,5296856,49549.55,-634.0,-1.0675737114183237
2014-03-21,12750,12855,12710,12760,18786,59845,12915.0,13051.0,13179.0,13527.333333333334,-162.39896502451484,-126.98054650160586,-35.41841852290898,24.598930481283418,137.85714285714286,-114.99732489456852,10902.8,5278070,50418.2,1092.0,1.8586284955661947
2014-03-24,12785,12810,12700,12750,13184,60066,12846.0,13018.0,13147.25,13507.666666666666,-173.6574394054478,-136.31592508237424,-37.34151432307357,21.857923497267763,139.28571428571428,-102.79191725760796,11122.5,5264886,51272.75,221.0,0.3692873255911166
2014-03-25,12765,12880,12730,12880,16971,59584,12820.0,12981.5,13124.75,13489.416666666666,-170.12880891295754,-143.0785018484909,-27.05030706446664,29.556650246305423,143.21428571428572,-74.00893299606861,11653.6,5281857,52082.6,-482.0,-0.8024506376319351
2014-03-26,12950,12950,12840,12940,13767,58625,12828.0,12950.5,13103.0,13472.833333333334,-160.63909774176864,-146.59062102714643,-14.048476714622185,35.294117647058826,143.21428571428572,-49.19568523617352,11970.45,5295624,52793.65,-959.0,-1.609492481203012
2014-03-27,12920,12965,12870,12915,14054,58557,12849.0,12920.5,13080.5,13454.833333333334,-153.36779585275508,-147.9460559922682,-5.421739860486895,34.78260869565217,144.28571428571428,-43.170257859388656,12283.35,5281570,53453.8,-68.0,-0.1159914712153487
2014-03-28,12920,13095,12915,13035,17003,58686,12904.0,12909.5,13064.75,13437.75,-136.35047618640056,-145.62694003109468,9.27646384469412,47.76119402985074,144.28571428571428,-14.290573842686388,12828.85,5298573,54071.0,129.0,0.2202981710128559
2014-03-31,13075,13090,12970,13015,11422,59333,12957.0,12901.5,13053.75,13420.75,-123.05940834311878,-141.1134336934995,18.054025350380726,36.62790697674418,138.57142857142858,-8.573317103749236,12864.35,5287151,54657.3,647.0,1.1024775926115282
2014-04-01,13045,13075,13000,13025,11341,59144,12986.0,12903.0,13041.75,13403.916666666666,-110.44607133378668,-134.97996122155695,24.533889887770272,36.9942196531792,136.42857142857142,-3.509972371085836,13042.0,5298492,55234.2,-189.0,-0.3185411153995288
2014-04-02,13030,13090,12930,13080,19006,61854,13014.0,12921.0,13031.0,13387.666666666666,-94.91771816312756,-126.96751260987108,32.049794446743505,42.37288135593221,142.85714285714286,0.2553042925556121,13503.9,5317498,55897.4,2710.0,4.582037062085753
2014-04-03,13130,13175,13035,13110,21464,61435,13053.0,12951.0,13024.5,13372.666666666666,-79.27678370562171,-117.4293668290212,38.152583123399495,47.92899408284024,146.42857142857142,26.33535887665435,14132.75,5338962,56523.1,-419.0,-0.677401623177154
